Company,Company Name,ROCE,ROE,Market Cap,Stock P/E,Dividend Yield,EPS
KAMATHOTEL,Kamat Hotels (I) Limited,18.8,15.1,645,13.1,0,1.31
KAMDHENU,Kamdhenu Limited,28.9,22,605,8.7,1.18,0.66
KAMOPAINTS,Kamdhenu Ventures Limited,-0.34,-0.34,176,,0,-0.01
KANANIIND,Kanani Industries Limited,0.1,0.09,30.1,40.1,0,0.04
KANORICHEM,Kanoria Chemicals & Industries Limited,3.78,2.37,296,25.6,0,1.49
KANPRPLA,Kanpur Plastipack Limited,12,10.7,411,12,0.52,3.12
KANSAINER,Kansai Nerolac Paints Limited,14,10.4,"18,503",28,1.11,1.69
KARMAENG,Karma Energy Limited,1.38,1.94,41.1,"4,113",0,0.91
KARURVYSYA,Karur Vysya Bank Limited,7.38,17.6,"29,101",12.6,0.73,7.14
KAUSHALYA,Kaushalya Infrastructure Development Corporation Limited,-1.13,-1.47,27.9,147,0,-7.51
KAVDEFENCE,Kavveri Defence & Wireless Technologies Limited,7.14,7.14,237,34.5,0,0.08
KAYA,Kaya Limited,-5.88,,505,,0,-23.41
KAYNES,Kaynes Technology India Limited,11.9,7.97,"23,213",108,0,9.38
KCP,KCP Limited,4.4,3.49,"2,277",26.7,0.14,2.85
KCPSUGIND,KCP Sugar and Industries Corporation Limited,1.21,-0.9,259,,0.45,0.03
KDDL,KDDL Limited,15.1,13.5,"2,823",55.6,0.66,11.74
KEC,KEC International Limited,14.6,7,"17,641",46.9,0.84,3.97
KECL,Kirloskar Electric Company Limited,12.7,5.77,561,33.5,0,0.95
KEEPLEARN,DSJ Keep Learning Limited,9.8,8.93,37.4,89,0,0
KEI,KEI Industries Limited,21.3,15.6,"38,293",44.5,0.11,24.57
KELLTONTEC,Kellton Tech Solutions Limited,10.9,7.94,826,61.7,0,0.08
KERNEX,Kernex Microsystems (India) Limited,22.3,34.4,"2,127",42.9,0,1.49
KEYFINSERV,Keynote Financial Services Limited,3.51,5.12,199,81.9,0.34,-2.12
KFINTECH,Kfin Technologies Limited,33.6,25.6,"17,496",51.5,0.75,5.29
KHADIM,Khadim India Limited,9.34,2.2,324,22.5,0,0.91
KHAICHEM,Khaitan Chemicals & Fertilizers Limited,2.48,0.63,635,8.79,0,2.11
KHAITANLTD,Khaitan (India) Limited,21,19.7,46.2,7.01,0,2.61
KHANDSE,Khandwala Securities Limited,-14.2,-15.2,29.4,,0,0.16
KICL,Kalyani Investment Company Limited,0.89,0.65,"2,054",42.9,0,70.99
KILITCH,Kilitch Drugs (India) Limited,13.2,11,565,17.8,0,4.99
KIMS,Krishna Institute of Medical Sciences Limited,16,14,"24,134",85,0,1.59
KINGFA,Kingfa Science & Technology (India) Limited,30.6,23.2,"5,870",37.3,0,30.36
KIOCL,KIOCL Limited,-9.48,-11.3,"22,049",,0,-0.28
KIRIINDUS,Kiri Industries Limited,2.45,0.78,"2,783",209,0,-3.52
KIRLOSBROS,Kirloskar Brothers Limited,20.8,15.8,"12,315",52.4,0.47,4.73
KIRLOSENG,Kirloskar Oil Engines Limited,18.4,14.3,"17,024",39.2,0.58,9.69
KIRLOSIND,Kirloskar Industries Limited,2.11,1.62,"3,368",43.5,0.41,37.68
KIRLPNU,Kirloskar Pneumatic Company Limited,28.3,21.1,"7,442",35.4,0.89,6.64
KITEX,Kitex Garments Limited,19.1,14.8,"3,412",32,0.3,0.54
KKCL,Kewal Kiran Clothing Limited,18.8,14.9,"2,845",22.9,0.43,6.9
KMEW,Knowledge Marine & Engineering Works Limited,23.8,19.8,"4,411",123,0,4.63
KMSUGAR,K.M.Sugar Mills Limited,11.2,11.2,222,4.69,0,1.14
KNAGRI,KN Agri Resources Limited,14.7,11,421,11.5,0,5.6
KNRCON,KNR Constructions Limited,27.4,20.5,"4,171",12.4,0.17,0.99
KOHINOOR,Kohinoor Foods Limited,-0.08,,88.6,,0,-0.18
KOKUYOCMLN,Kokuyo Camlin Limited,3.65,1.95,826,45.5,0,0.78
KOLTEPATIL,Kolte - Patil Developers Limited,7.52,8.29,"3,311",84.4,0,-0.84
KOPRAN,Kopran Limited,8.63,6.33,620,30.6,2.29,2.51
KOTAKBANK,Kotak Mahindra Bank Limited,7.45,15.4,"4,07,218",30.1,0.12,3.47
KOTARISUG,Kothari Sugars And Chemicals Limited,3.22,1.69,203,,0,-0.87
KOTHARIPET,Kothari Petrochemicals Limited,30,23.8,700,10.6,0.85,3.13
KOTHARIPRO,Kothari Products Limited,-1,-1.72,395,7.16,0,5.05
KPEL,K.P. Energy Limited,42.2,46,"1,976",13.3,0.22,6.15
KPIGREEN,KPI Green Energy Limited,15.7,18.5,"7,795",22.1,0.17,4.99
KPIL,Kalpataru Projects International Limited,15,10.3,"19,331",23.5,0.82,11.71
KPITTECH,KPIT Technologies Limited,34.4,27.1,"28,593",50.3,0.83,1.84
KPRMILL,K.P.R. Mill Limited,21.5,17.6,"29,864",51.3,0.59,3.87
KRBL,KRBL Limited,11.8,9.43,"7,806",12.8,1.02,7.52
KREBSBIO,Krebs Biochemicals and Industries Limited,-30.1,,128,,0,-2.85
KRIDHANINF,Kridhan Infra Limited,,,41,35.9,0,0.03
KRISHANA,Krishana Phoschem Limited,21.7,25.3,"2,942",22.6,0.11,5.5
KRISHIVAL,Krishival Foods Limited,14.8,10.5,841,56.7,0.07,2.11
KRISHNADEF,Krishna Defence And Allied Industries Limited,24.3,18.4,"1,667",61.8,0.1,10.47
KRITI,Kriti Industries (India) Limited,5.87,-2.57,404,,0,-1.84
KRITIKA,Kritika Wires Limited,15.1,11.3,177,18.7,0,0.04
KRITINUT,Kriti Nutrients Limited,24.5,18.7,359,11.4,0.42,1.84
KRN,KRN Heat Exchanger and Refrigeration Limited,20.7,16,"4,054",61.6,0,3.81
KRONOX,Kronox Lab Sciences Limited,43.8,32.6,455,17.6,0.4,1.8
KROSS,Kross Limited,21.7,16.5,"1,277",25.6,0,2.17
KRSNAA,Krsnaa Diagnostics Limited,12.5,9.29,"2,316",27.1,0.39,7.16
KRYSTAL,Krystal Integrated Services Limited,16.8,15,842,14.6,0.25,10.19
KSB,Ksb Limited,24.2,18,"12,379",48.2,0.62,3.73
KSCL,Kaveri Seed Company Limited,19.5,18,"4,799",16.7,0.58,-2.93
KSHINTL,KSH International Limited,21.4,25.7,"2,355",27.8,0,5.21
KSHITIJPOL,Kshitij Polyline Limited,-15.5,-36.1,31.8,,0,0.02
KSL,Kalyani Steels Limited,15.6,14,"3,084",12,1.39,14.16
KSOLVES,Ksolves India Limited,157,153,614,20.1,5.98,3.83
KTKBANK,The Karnataka Bank Limited,6.33,11.1,"6,884",5.98,2.72,8.44
KUANTUM,Kuantum Papers Limited,11.4,10.1,753,11.6,3.47,0.66
LAGNAM,Lagnam Spintex Limited,9.85,11.3,120,9.08,0,0.22
LAL,Lorenzini Apparels Limited,17,13.9,135,,0,0.08
LALPATHLAB,Dr. Lal Path Labs Ltd.,30.6,24.7,"23,536",44.5,0.87,8.69
LAMBODHARA,Lambodhara Textiles Limited,9.1,5.6,121,16.7,0.44,3.2
LANDMARK,Landmark Cars Limited,10.5,7.9,"1,631",45.3,0.13,1.75
LAOPALA,La Opala RG Limited,15.4,10.9,"2,155",21.3,3.86,2.41
LASA,Lasa Supergenerics Limited,-1,1.01,47,97.9,0,-1.25
LATENTVIEW,Latent View Analytics Limited,10.2,6.63,"8,422",99.1,0,1.43
LAURUSLABS,Laurus Labs Limited,9.47,7.75,"51,869",64.8,0.12,3.24
LAXMICOT,Laxmi Cotspin Limited,-0.31,-7.63,23.7,6.55,0,0.24
LAXMIDENTL,Laxmi Dental Limited,17.3,14.6,"1,044",48.4,0,1.2
LAXMIINDIA,Laxmi India Finance Limited,13.7,15.7,481,12.1,0,1.8
LEMERITE,Le Merite Exports Limited,7.8,4.74,"1,143",103,0,3.51
LEMONTREE,Lemon Tree Hotels Limited,11.2,8.33,"10,149",94.4,0,0.28
LENSKART,Lenskart Solutions Limited,3.91,2.19,"79,500",616,0,1.2
LEXUS,Lexus Granito (India) Limited,-1.77,-73.5,50,31.4,0,0.18
LFIC,Lakshmi Finance & Industrial Corporation Limited,4.28,6.21,36.3,,2.47,-4.13
LGBBROSLTD,LG Balakrishnan & Bros Limited,20.3,15.7,"5,474",19.5,1.19,26.34
LGEINDIA,LG Electronics India Limited,56.8,45.2,"99,355",48.4,0,5.74
LGHL,Laxmi Goldorna House Limited,18.4,19,"1,350",131,0,0.75
LIBAS,Libas Consumer Products Limited,0.12,-3.07,26.8,,0,0.19
LIBERTSHOE,Liberty Shoes Limited,9.99,7.2,426,32,0,1.16
LICHSGFIN,LIC Housing Finance Limited,8.93,16,"28,961",5.33,1.88,24.61
LICI,Life Insurance Corporation Of India,53.4,46,"5,20,547",10.2,1.47,15.89
LIKHITHA,Likhitha Infrastructure Limited,27.6,20.3,634,10.5,0,2.92
LINC,Linc Limited,22.4,17.6,649,16.6,1.38,1.71
LINCOLN,Lincoln Pharmaceuticals Limited,17.3,12.8,901,11.2,0.41,9.98
LINDEINDIA,Linde India Limited,16.9,12.3,"51,474",102,0.08,19.82
LLOYDSENGG,LLOYDS ENGINEERING WORKS LIMITED,23.2,18.9,"5,227",51.6,0.57,0.28
LLOYDSENT,Lloyds Enterprises Limited,0.52,0.13,"7,559",29.9,0.17,0.2
LLOYDSME,Lloyds Metals And Energy Limited,38.3,31.5,"60,114",32.8,0.09,11.5
LMW,LMW Limited,4.58,3.8,"15,597",99.1,0.21,28.03
LODHA,Lodha Developers Limited,14.6,13.2,"97,300",33.9,0.45,11.47
LOKESHMACH,Lokesh Machines Limited,4.87,0.26,354,,0,0.32
LORDSCHLO,Lords Chloro Alkali Limited,5.05,3.25,362,15.5,0,3.59
LOTUSDEV,Sri Lotus Developers and Realty Limited,39,37.8,"7,338",42.7,0,0.47
LOTUSEYE,Lotus Eye Hospital and Institute Limited,2.99,1.22,279,416,0,0.06
LOVABLE,Lovable Lingerie Limited,-1.74,1.16,108,54.1,0,-2.57
LOYALTEX,Loyal Textile Mills Limited,-12,-46.6,95.9,,0,-20.06
LPDC,Landmark Property Development Company Limited,-8.51,-8.9,85,500,0,0.02
LT,Larsen & Toubro Limited,18.5,17.1,"5,39,893",47.8,0.87,20.59
LTF,L&T Finance Limited,8.7,10.8,"71,773",25.6,0.96,2.92
LTFOODS,LT Foods Limited,15.5,12,"12,867",60.5,0.83,1.91
LTIM,LTIMindtree Limited,27.6,21.6,"1,76,767",34.6,1.1,31.32
LTTS,L&T Technology Services Limited,27.9,21.7,"39,443",31.7,1.46,27.26
LUMAXIND,Lumax Industries Limited,13.4,16,"4,549",41.4,0.76,27.59
LUMAXTECH,Lumax Auto Technologies Limited,11.5,10.1,"9,182",98,0.42,2.76
LUPIN,Lupin Limited,21.9,17.8,"98,079",18.3,0.56,29.72
LUXIND,Lux Industries Limited,12.5,9.81,"2,803",21.8,0.23,7.93
LXCHEM,Laxmi Organic Industries Limited,8.77,6.16,"3,908",45.8,0.37,0.72
LYKALABS,Lyka Labs Limited,8.29,7.03,255,,0,0.08
LYPSAGEMS,Lypsa Gems & Jewellery Limited,-45.1,-62.8,13.6,,0,0.03
M&M,Mahindra & Mahindra Limited,27,20.8,"4,26,692",30.4,0.76,36.35
M&MFIN,Mahindra & Mahindra Financial Services Limited,9.02,12.3,"51,485",20.2,1.77,5.83
MACPOWER,Macpower CNC Machines Limited,27.1,19.8,835,30.3,0.18,9.38
MADHAV,Madhav Marbles and Granites Limited,1.17,0.44,34.9,77.5,0,0.03
MADHUCON,Madhucon Projects Limited,-1.57,-4.09,38.8,,0,0.64
MADRASFERT,Madras Fertilizers Limited,10.8,,"1,227",15.5,0,0.8
MAGADSUGAR,Magadh Sugar & Energy Limited,12.7,13.8,616,7.45,2.85,-7.34
MAGNUM,Magnum Ventures Limited,3.68,1.48,150,,0,0.18
MAHABANK,Bank of Maharashtra,5.78,22.9,"50,318",7.78,2.26,2.31
MAHAPEXLTD,Maha Rashtra Apex Corporation Limited,1.04,0.77,132,21.5,0,-0.11
MAHEPC,Mahindra EPC Irrigation Limited,6.85,4.27,334,21.3,0,2.32
MAHESHWARI,Maheshwari Logistics Limited,12.6,9.27,132,7.54,0,1.32
MAHLIFE,Mahindra Lifespace Developers Limited,3.01,2.9,"7,468",430,0.81,-1.15
MAHLOG,Mahindra Logistics Limited,9.4,6.35,"3,576",95.9,0.68,1.15
MAHSCOOTER,Maharashtra Scooters Limited,0.59,0.61,"15,342",49.4,1.2,3.6
MAHSEAMLES,Maharashtra Seamless Limited,17.2,13.4,"7,011",8.18,1.87,18.45
MAITHANALL,Maithan Alloys Limited,28.8,22.8,"2,923",6.33,1.59,-38.5
MALLCOM,Mallcom (India) Limited,15.4,14.8,686,19.6,0.27,17.4
MALUPAPER,Malu Paper Mills Limited,-4.11,"-2,246",54.9,,0,-3.28
MAMATA,Mamata Machinery Limited,29.1,21.8,997,25.9,0.13,1.34
MANAKCOAT,Manaksia Coated Metals & Industries Limited,15.6,8.43,"1,346",35.1,0.04,1.32
MANAKSIA,Manaksia Limited,1.24,0.82,427,51.6,0,0.43
MANAKSTEEL,Manaksia Steels Limited,4.06,3.67,390,22.5,0,0.61
MANALIPETC,Manali Petrochemicals Limited,0.26,-0.58,988,163,0.86,0.01
MANAPPURAM,Manappuram Finance Limited,13.1,16,"24,212",15.4,1.2,4.5
MANBA,Manba Finance Limited,13.1,13.3,665,15.7,0.56,2.6
MANCREDIT,Mangal Credit and Fincorp Limited,12.2,9.93,356,28.9,0.44,1.41
MANGLMCEM,Mangalam Cement Limited,9.87,5.7,"2,145",27.8,0.2,7.31
MANINDS,Man Industries (India) Limited,16.6,9.99,"2,445",17.1,0,4.75
MANINFRA,Man Infraconstruction Limited,13.1,9.94,"4,422",25.4,0.81,0.75
MANKIND,Mankind Pharma Limited,15,13.9,"87,645",52.6,0.05,11.12
MANORAMA,Manorama Industries Limited,23,28,"8,108",37.5,0.04,11.43
MANORG,Mangalam Organics Limited,6.21,2.71,360,21.6,0,2.23
MANUGRAPH,Manugraph India Limited,-15.6,-22.5,42,,0,-0.36
MANYAVAR,Vedant Fashions Limited,25.9,22.3,"11,808",30.7,1.64,2.31
MAPMYINDIA,C.E. Info Systems Limited,27.6,19.8,"7,242",48.2,0.27,3.38
MARALOVER,Maral Overseas Limited,1.89,-20.2,164,,0,-0.67
MARATHON,Marathon Nextgen Realty Limited,15.1,13.3,"3,445",19.3,0.2,8.98
MARICO,Marico Limited,42.8,36.5,"94,449",48.7,1.44,3.4
MARINE,Marine Electricals (India) Limited,17.5,13,"2,510",51,0.17,1.11
MARKOLINES,Markolines Pavement Technologies Limited,18.9,16.2,298,11.5,1.11,1.81
MARKSANS,Marksans Pharma Limited,18.6,14.4,"7,398",30.7,0.5,2.2
MARUTI,Maruti Suzuki India Limited,21.7,15.6,"4,58,706",31.6,0.93,120.67
MASFIN,MAS Financial Services Limited,11.3,14,"5,893",16.9,0.53,4.98
MASKINVEST,Mask Investments Limited,0.04,0.02,42.8,,0,0
MASTEK,Mastek Limited,15.5,13.5,"6,310",33,1.12,9.1
MASTERTR,Master Trust Limited,3.24,1.48,"1,238",173,0,0.23
MATRIMONY,Matrimony.Com Limited,19.2,16.8,"1,120",33,0.93,3.5
MAWANASUG,Mawana Sugars Limited,10.3,11.6,312,6.47,5.02,-4.18
MAXESTATES,Max Estates Limited,3.22,2.39,"6,222",85.5,0,0.72
MAXHEALTH,Max Healthcare Institute Limited,12.5,9.45,"93,067",134,0.16,1.65
MAXIND,Max India Limited,-0.43,-0.49,844,,0,-0.08
MAYURUNIQ,Mayur Uniquoters Ltd,20.7,15.4,"2,217",14.4,0.97,11.07
MAZDA,Mazda Limited,15.2,11.2,405,15.9,1.76,3.79
MAZDOCK,Mazagon Dock Shipbuilders Limited,48.8,36.5,"1,03,384",46.4,0.69,17.73
MBAPL,Madhya Bharat Agro Products Limited,18,15.2,"3,630",34.7,0.12,3.62
MBEL,M & B Engineering Limited,24.8,26.6,"1,815",26,0,3.22
MBLINFRA,MBL Infrastructure Limited,8.67,0.66,398,36.5,0,0.22
MCLEODRUSS,Mcleod Russel India Limited,-1.45,-422,462,,0,2.79
MCLOUD,Magellanic Cloud Limited,9.92,6.79,"1,315",76.9,0.13,0.08
MCX,Multi Commodity Exchange of India Limited,31.9,23.9,"64,640",89.5,0.22,12.04
MEDANTA,Global Health Limited,19.6,15.2,"28,118",53.5,0.05,5.22
MEDIASSIST,Medi Assist Healthcare Services Limited,20,14.3,"2,986",74.5,0,2.5
MEDICAMEQ,Medicamen Biotech Limited,6.77,4.43,474,54.1,0.29,1.63
MEDICO,Medico Remedies Limited,21.3,17.6,417,36.7,0,0.31
MEDPLUS,Medplus Health Services Limited,4.58,3.32,"9,467",180,0,1.3
MEESHO,Meesho Limited,-8.85,-257,"78,709",,0,-1.49
MEIL,Mangal Electrical Industries Limited,30.4,34.1,716,16.2,0,4.85
MENONBE,Menon Bearings Limited,17.2,14.4,653,25,1.7,1.4
METROBRAND,Metro Brands Limited,19.5,19.2,"28,927",75.5,0.54,4.6
METROPOLIS,Metropolis Healthcare Limited,13.4,10.5,"9,423",70.6,0.22,9
MFML,Mahalaxmi Fabric Mills Limited,-6.18,-9.52,24.4,,0,-4.75
MFSL,Max Financial Services Limited,-0.13,-0.14,"55,829",,0,-0.1
MGEL,Mangalam Global Enterprise Limited,17.9,14.2,414,16.5,0.08,0.2
MGL,Mahanagar Gas Limited,22.9,17.7,"10,378",10.5,2.88,19.58
MHLXMIRU,Mahalaxmi Rubtech Limited,30.1,27.5,222,10.9,0,5.55
MHRIL,Mahindra Holidays & Resorts India Limited,19.7,18,"5,876",23.7,0,2.72
MICEL,MIC Electronics Limited,8.71,5.57,"1,012",105,0,0.09
MIDHANI,Mishra Dhatu Nigam Limited,10.6,8.05,"7,037",65.8,0.19,0.68
MIDWESTLTD,Midwest Limited,23.9,19.6,"4,757",51.8,0,8.59
MINDACORP,Minda Corporation Limited,11.8,11.2,"13,186",73.1,0.26,1.97
MINDTECK,Mindteck (India) Limited,14.1,10.7,728,35.3,0.43,1.68
MIRCELECTR,MIRC Electronics Limited,5.35,-1.81,"1,110",,0,-0.06
MIRZAINT,Mirza International Limited,0.64,-1.08,525,,0,0.29
MITCON,MITCON Consultancy & Engineering Services Limited,7.37,4.3,105,23.9,0,0.72
MITTAL,Mittal Life Style Limited,4.27,3.08,44.4,26.6,0,0.02
MKPL,M K Proteins Limited,12.9,12.4,207,24.6,0,0.02
MMFL,MM Forgings Limited,12.5,15.6,"1,973",18.3,0.98,3.67
MMP,MMP Industries Limited,14.4,12.5,642,18.2,0.79,2.37
MMTC,MMTC Limited,8.33,5.69,"9,822",238,0,0.89
MOBIKWIK,One Mobikwik Systems Limited,-13.1,-31.3,"1,559",,0,-3.43
MODINATUR,Modi Naturals Limited,11.2,7.88,453,54,0,1.98
MODIRUBBER,Modi Rubber Limited,0.74,0.53,311,,0,-1.75
MODIS,Modis Navnirman Limited,12.9,9.88,636,32.2,0,6.13
MODISONLTD,MODISON LIMITED,15.5,12.1,514,16.2,2.2,3.59
MODTHREAD,Modern Threads (India) Limited,2.9,1.41,151,27.4,0,
MOHITIND,Mohit Industries Limited,0.19,-6.24,34.7,,0,-0.11
MOIL,MOIL Limited,18.8,14.7,"7,336",24.4,1.58,2.6
MOKSH,Moksh Ornaments Limited,13.3,10,122,13.6,0,0.31
MOL,Meghmani Organics Limited,6.39,4.22,"1,523",10.3,0,1.69
MOLDTECH,Mold-Tek Technologies Limited,11.4,8.56,372,143,0.77,1.09
MOLDTKPAC,Mold-Tek Packaging Limited,12.4,9.81,"1,821",27.1,0.75,4.66
MONARCH,Monarch Networth Capital Limited,32.8,26.4,"2,324",14.8,0.35,5.73
MONEYBOXX,Moneyboxx Finance Limited,8.65,0.58,327,,0,0.04
MONTECARLO,Monte Carlo Fashions Limited,12.8,9.78,"1,182",12.3,3.51,51.53
MOREPENLAB,Morepen Laboratories Limited,13.2,9.81,"1,973",35.1,0.56,0.26
MOSCHIP,Moschip Technologies Limited,10.6,9.68,"4,093",105,0,0.56
MOTHERSON,Samvardhana Motherson International Limited,5.16,4.33,"1,19,001",64.2,0.5,0.69
MOTILALOFS,Motilal Oswal Financial Services Limited,17.8,21.4,"45,385",47.1,0.79,4.08
MOTISONS,Motisons Jewellers Limited,14.5,11.6,"1,147",20.5,0,0.22
MOTOGENFIN,The Motor & General Finance Limited,1.74,1.52,83.5,,0,-0.53
MPHASIS,MphasiS Limited,33.7,25.2,"52,481",36.8,2.1,17.8
MPSLTD,MPS Limited,39.5,30.1,"3,185",27.7,4.46,17.66
MRF,MRF Limited,13.8,10.5,"55,559",30.9,0.18,"1,206.27"
MRPL,Mangalore Refinery and Petrochemicals Limited,4.36,0.4,"31,012",14.2,0,8.25
MSPL,MSP Steel & Power Limited,6.41,-3.84,"1,677",93.1,0,-1.32
MSTCLTD,Mstc Limited,28.2,27.2,"3,244",15,8.75,6.98
MSUMI,Motherson Sumi Wiring India Limited,42.5,35.9,"28,410",46.2,1.33,0.25
MTARTECH,Mtar Technologies Limited,10.5,7.51,"9,012",133,0,11.43
MTNL,Mahanagar Telephone Nigam Limited,-6.7,,"2,176",,0,-15.22
MUFIN,Mufin Green Finance Limited,12.6,7.89,"1,977",98.2,0,0.35
MUFTI,Credo Brands Marketing Limited,19.1,18.4,595,10.4,3.3,2.89
MUKANDLTD,Mukand Limited,10.4,9.04,"1,856",19.7,1.56,1.1
MUKKA,Mukka Proteins Limited,11.4,10.8,680,15.9,0,0.12
MUKTAARTS,Mukta Arts Limited,5.97,3.87,130,15.2,0,0.77
MUNJALAU,Munjal Auto Industries Limited,9.36,7.34,718,44.9,1.38,0.63
MUNJALSHOW,Munjal Showa Limited,0.27,0.7,476,18.4,3.78,0.68
MURUDCERA,Murudeshwar Ceramics Limited,5.24,2.7,197,18.9,1.54,0.52
MUTHOOTCAP,Muthoot Capital Services Limited,11,7.19,377,30.8,0,4.65
MUTHOOTFIN,Muthoot Finance Limited,13.4,19.7,"1,54,874",21.4,0.66,58.41
MUTHOOTMF,Muthoot Microfin Limited,5.8,-8.19,"3,039",,0,1.79
MVGJL,Manoj Vaibhav Gems N Jewellers Limited,15.8,15,830,7.97,0,6.5
MWL,Mangalam Worldwide Limited,14.4,13.1,820,19.9,0.07,4.72
NACLIND,NACL Industries Limited,-7.89,-20.6,"3,392",,0,-0.15
NAGAFERT,Nagarjuna Fertilizers and Chemicals Limited,,,291,,0,-0.08
NAGREEKCAP,Nagreeka Capital & Infrastructure Limited,29.2,157,34.2,2.06,0,2.28
NAGREEKEXP,Nagreeka Exports Limited,5.76,2.11,78.2,29.3,0,0.35
NAHARCAP,Nahar Capital and Financial Services Limited,4.29,3.39,394,15.8,0.65,6.83
NAHARINDUS,Nahar Industrial Enterprises Limited,3.86,1.09,422,8.78,0,4.34
NAHARPOLY,Nahar Poly Films Limited,10.1,7.14,577,11.1,0.42,7.02
NAHARSPING,Nahar Spinning Mills Limited,3.71,0.71,609,16.7,0.61,-1.29
NAM-INDIA,Nippon Life India Asset Management Limited,41.6,32,"56,156",39.8,2.08,6.14
NARMADA,Narmada Agrobase Limited,13,11.2,107,28.1,0,0.27
NATCAPSUQ,Natural Capsules Limited,7.39,4.5,171,17.7,0,2.72
NATCOPHARM,Natco Pharma Limited,31.8,27.5,"14,920",9.82,0.73,27.97
NATHBIOGEN,Nath Bio-Genes (India) Limited,7.35,6.77,285,6.04,1.33,2.21
NATIONALUM,National Aluminium Company Limited,43.7,32.6,"71,555",11.6,2.7,7.8
NAUKRI,Info Edge (India) Limited,4.91,2.75,"81,137",77.4,0.47,72.8
NAVA,NAVA LIMITED,13.6,10.9,"15,830",35.5,1.45,5.53
NAVINFLUOR,Navin Fluorine International Limited,11.7,11.5,"31,343",80.7,0.2,26.16
NAVKARCORP,Navkar Corporation Limited,-1.83,-1.96,"1,458",,0,0.62
NAVNETEDUL,Navneet Education Limited,14.7,14.2,"3,178",16.4,2.09,-0.27
NAZARA,Nazara Technologies Limited,0.99,0.88,"10,486",396,0,-26.1
NBCC,NBCC (India) Limited,32.1,24.1,"26,595",42.7,0.68,0.64
NBIFIN,N. B. I. Industrial Finance Company Limited,0.35,0.27,590,36.4,0.02,21.96
NCC,NCC Limited,20.1,10.7,"9,107",12.6,1.54,1.61
NCLIND,NCL Industries Limited,6.71,3.41,827,14.7,1.63,4.36
NDGL,Naga Dhunseri Group Limited,11.1,7.83,265,14.9,0.1,-18.1
NDL,Nandan Denim Limited,9.27,5.56,405,10.7,0,0.07
NDLVENTURE,NDL Ventures Limited,1.69,0.96,302,339,0.56,0.07
NDRAUTO,Ndr Auto Components Limited,24.8,20.4,"1,642",33.3,0.39,5.84
NDTV,New Delhi Television Limited,-28,-73.6,920,,0,-7.1
NECCLTD,North Eastern Carrying Corporation Limited,6.67,4.97,149,20.4,0,0.18
NELCAST,Nelcast Limited,9.58,6.48,779,21.2,0.59,0.55
NELCO,NELCO Limited,16.7,8.17,"1,492",354,0.15,-0.25
NEOGEN,Neogen Chemicals Limited,10.7,7.36,"3,175",64.2,0.08,3.53
NEPHROPLUS,Nephrocare Health Services Limited,9.56,7.29,"5,288",154,0,164.24
NESCO,Nesco Limited,21.1,15.8,"7,969",19.5,0.58,14.85
NESTLEIND,Nestle India Limited,95.7,83,"2,57,121",85.9,1.01,3.91
NETWEB,Netweb Technologies India Limited,32.4,23.9,"17,733",99.8,0.08,12.94
NETWORK18,Network18 Media & Investments Limited,-1.2,-9.29,"5,840",,0,-0.7
NEULANDLAB,Neuland Laboratories Limited,18.7,14.8,"17,011",87.3,0.1,75.18
NEWGEN,Newgen Software Technologies Limited,27.8,22.4,"8,262",27,0.87,3.97
NEXTMEDIA,Next Mediaworks Limited,-9.35,,34.2,,0,-0.15
NFL,National Fertilizers Limited,5.57,2.38,"4,069",47.3,1.85,-0.21
NGIL,Nakoda Group of Industries Limited,-8.11,-15.4,46.6,,0,0.14
NGLFINE,NGL Fine-Chem Limited,8.29,6.68,"1,052",66.6,0.1,12.79
NH,Narayana Hrudayalaya Ltd.,19.4,21,"35,975",77.5,0.26,6.75
NHPC,NHPC Limited,7.44,8.4,"78,160",24.7,2.42,0.92
NIACL,The New India Assurance Company Limited,3.72,3.54,"24,555",21.2,1.21,0.38
NIBE,NIBE Limited,17,13.5,"1,501",173,0.12,-3.4
NIBL,NRB Industrial Bearings Limited,-18.7,,71.5,,0,-2.9
NIITLTD,NIIT Limited,3.7,3.45,"1,020",41.7,1.34,-0.11
NIITMTS,NIIT Learning Systems Limited,23.6,20,"5,333",44.1,0.76,0.93
NILAINFRA,Nila Infrastructures Limited,16.8,12.6,320,12.1,0,0.15
NILASPACES,Nila Spaces Limited,26.6,11.1,567,26.6,0,0.17
NILKAMAL,Nilkamal Limited,8.98,6.7,"2,082",22.7,1.44,22.03
NINSYS,NINtec Systems Limited,63.1,49.2,632,24.5,0,3.59
NIPPOBATRY,Indo-National Limited,-0.91,-1.69,284,123,1.33,3.57
NIRAJ,Niraj Cement Structurals Limited,10.6,7.96,188,9.25,0,1.54
NIRAJISPAT,Niraj Ispat Industries Limited,10.8,9.82,9.42,6.11,0,7.17
NITCO,Nitco Limited,-44.7,,"1,909",,0,0.09
NITINSPIN,Nitin Spinners Limited,13.2,14.3,"1,849",11.1,0.92,6.19
NITIRAJ,Nitiraj Engineers Limited,7.96,5.63,181,23.4,0.86,1.59
NIVABUPA,Niva Bupa Health Insurance Company Limited,7.45,8.18,"14,606",,0,-0.47
NKIND,NK Industries Limited,,,45.9,,0,-2.43
NLCINDIA,NLC India Limited,9.02,5.61,"36,032",18.8,1.37,3.5
NMDC,NMDC Limited,30.3,24.4,"71,020",9.98,4.06,1.93
