Company,Company Name,ROCE,ROE,Market Cap,Stock P/E,Dividend Yield,EPS
AUBANK,AU Small Finance Bank Limited,8.4,14.2,"73,246",31.7,0.1,8.94
AURIONPRO,Aurionpro Solutions Limited,12.4,9.75,"5,022",48.3,0.44,5.75
AUROPHARMA,Aurobindo Pharma Limited,10.8,8.65,"69,789",34.6,0.34,10.01
AURUM,Aurum PropTech Limited,1.22,-0.8,"1,250",710,0,0.07
AUTOAXLES,Automotive Axles Limited,22.3,16.6,"2,830",18,1.65,23.79
AUTOIND,Autoline Industries Limited,14.8,17.5,356,23.4,0,0.62
AVADHSUGAR,Avadh Sugar & Energy Limited,9.19,8.24,659,10.4,3.05,-3.29
AVALON,Avalon Technologies Limited,8.88,6.73,"5,772",77.7,0,3.71
AVANTEL,Avantel Limited,37,28.6,"4,135",181,0.13,0.18
AVANTIFEED,Avanti Feeds Limited,29.3,21.9,"10,844",18.9,1.14,9.91
AVG,AVG Logistics Limited,12.6,9.57,218,10.5,0.81,3.33
AVL,Aditya Vision Limited,19.1,20.3,"6,459",57.5,0.22,2.11
AVONMORE,Avonmore Capital & Management Services Limited,9.17,9.12,429,,0,0.02
AVTNPL,AVT Natural Products Limited,10.8,7.84,"1,012",21,1.05,0.61
AWFIS,Awfis Space Solutions Limited,12.7,24.8,"2,780",57,0,2.1
AWHCL,Antony Waste Handling Cell Limited,1.94,0.76,"1,616",,0,0.09
AWL,AWL Agri Business Limited,21,13.8,"27,787",27.2,0,1.76
AXISBANK,Axis Bank Limited,6.95,16,"4,25,606",17.3,0.07,20.9
AXISCADES,AXISCADES Technologies Limited,10,11.2,"5,218",170,0,0.08
AYMSYNTEX,AYM Syntex Limited,8.36,2.53,920,618,0,-0.07
AZAD,Azad Engineering Limited,12.2,8.58,"9,506",83.9,0,5.11
BAGFILMS,B.A.G Films and Media Limited,1.75,0.41,110,59.2,0,0.03
BAIDFIN,Baid Finserv Limited,11.2,7.75,171,10.1,0.88,0.3
BAJAJ-AUTO,Bajaj Auto Limited,37.6,28.5,"2,67,619",30.6,2.21,88.8
BAJAJCON,Bajaj Consumer Care Limited,18.8,15.6,"4,401",27.4,0,3.64
BAJAJELEC,Bajaj Electricals Limited,12.2,7.52,"4,825",49.3,0.73,1.27
BAJAJFINSV,Bajaj Finserv Limited,27.4,20.9,"3,11,350",217,0.05,6.79
BAJAJHCARE,Bajaj Healthcare Limited,11.4,10.7,"1,119",21.4,0.28,4.96
BAJAJHFL,Bajaj Housing Finance Limited,9.55,13.5,"75,749",32,0,0.77
BAJAJHIND,Bajaj Hindusthan Sugar Limited,1.24,0.1,"2,104",,0,-0.78
BAJAJHLDNG,Bajaj Holdings & Investment Limited,7.24,6.64,"1,20,061",46.2,0.88,195.95
BAJAJINDEF,Indef Manufacturing Limited,17.7,14.5,956,32.1,0.67,2.09
BAJEL,Bajel Projects Limited,12.9,2.68,"1,781",115,0,0.51
BAJFINANCE,Bajaj Finance Limited,11.5,18.5,"5,82,144",36.3,0.48,6.83
BALAJEE,Shree Tirupati Balajee Agro Trading Company Limited,10.7,7.76,265,22.2,0,0.21
BALAJITELE,Balaji Telefilms Limited,-0.12,16.3,"1,020",14.1,0,-0.37
BALAMINES,Balaji Amines Limited,13.2,9.79,"3,720",26,0.97,10.01
BALAXI,BALAXI PHARMACEUTICALS LIMITED,5.06,2.89,134,35.2,0,0.28
BALKRISHNA,Balkrishna Paper Mills Limited,,,53.8,,0,-0.55
BALKRISIND,Balkrishna Industries Limited,16.5,15.5,"45,108",35,0.7,19.4
BALMLAWRIE,Balmer Lawrie & Company Limited,21.7,15.7,"2,945",12.2,4.93,2.84
BALPHARMA,Bal Pharma Limited,9.69,8.14,109,14.7,1.74,0.49
BALRAMCHIN,Balrampur Chini Mills Limited,9.84,10.1,"8,519",22.9,0.85,2.28
BALUFORGE,Balu Forge Industries Limited,25.1,18.3,"4,862",32.9,0.04,3.12
BANARBEADS,Banaras Beads Limited,7.76,5.61,73,38.6,2.05,0.87
BANARISUG,Bannari Amman Sugars Limited,8.68,6.04,"4,514",37,0.35,34.05
BANCOINDIA,Banco Products (I) Limited,38.9,33.2,"8,370",21.7,1.89,9.63
BANDHANBNK,Bandhan Bank Limited,7.82,11.9,"24,962",24.8,0.99,1.28
BANG,Bang Overseas Limited,-2.18,-2.51,60,13.4,0,0.6
BANKA,Banka BioLoo Limited,0.87,-5.72,68.3,,0,-1.01
BANKBARODA,Bank of Baroda,6.24,15.7,"1,55,348",8.1,2.81,9.3
BANKINDIA,Bank of India,6.15,12.3,"75,165",7.46,2.44,5.94
BANSALWIRE,Bansal Wire Industries Limited,15.1,16.3,"4,289",33.7,0,2.17
BANSWRAS,Banswara Syntex Limited,7.25,3.87,367,17.6,0.93,2.04
BASF,BASF India Limited,18,13.7,"15,804",41.1,0.55,23.34
BASML,Bannari Amman Spinning Mills Limited,4.79,9.24,191,12,0,0.75
BATAINDIA,Bata India Limited,15.2,15.6,"11,038",60.5,2.27,1.07
BAYERCROP,Bayer Cropscience Limited,24.8,20,"20,062",33,2.8,33.98
BBL,Bharat Bijlee Limited,9.66,7,"3,136",21.3,1.23,24.98
BBOX,Black Box Limited,3.95,2.89,"8,744",400,0.2,0.19
BBTC,The Bombay Burmah Trading Corporation Limited,28,55.5,"12,008",159,0.98,-1.06
BBTCL,B&B Triplewall Containers Limited,3.24,-3.75,408,,0,2.63
BCG,Brightcom Group Limited,0.03,0,"1,858","8,448",0,0
BCLIND,Bcl Industries Limited,9.95,10,826,10.8,0.95,0.72
BCONCEPTS,Brand Concepts Limited,10.8,7.13,344,169,0,1.87
BDL,Bharat Dynamics Limited,19.7,14.4,"56,207",86,0.3,5.89
BEARDSELL,Beardsell Limited,15.3,12.6,104,11.4,0.42,0.55
BECTORFOOD,Mrs. Bectors Food Specialities Limited,16.4,14.2,"6,768",60.4,0.56,1
BEDMUTHA,Bedmutha Industries Limited,16.7,18,416,,0,-0.29
BEL,Bharat Electronics Limited,39.4,29.5,"3,28,172",55.2,0.54,2.18
BELLACASA,Bella Casa Fashion & Retail Limited,17.2,13.5,424,22.4,0.64,4.79
BELRISE,Belrise Industries Limited,13.3,13.8,"15,021",35.1,0.34,1.38
BEML,BEML Limited,16.1,10.6,"14,948",49.2,0.6,6.58
BEPL,Bhansali Engineering Polymers Limited,25.4,18.7,"2,056",12.4,4.84,1.61
BERGEPAINT,Berger Paints (I) Limited,24.9,20,"54,048",52,0.82,1.51
BETA,Beta Drugs Limited,16,15.3,"1,494",131,0,5.7
BFINVEST,BF Investment Limited,4.49,3.22,"1,434",16,0,12.12
BGRENERGY,BGR Energy Systems Limited,-20.8,,"2,541",,0,-8.55
BHAGCHEM,Bhagiradha Chemicals & Industries Limited,7.44,4.91,"2,722",103,0.07,0.46
BHAGERIA,Bhageria Industries Limited,10.4,7.85,790,14.7,0.83,2.79
BHANDARI,Bhandari Hosiery Exports Limited,9.04,6.1,95.5,11.4,0.51,0.09
BHARATCOAL,Bharat Coking Coal Limited,28.9,21,"18,581",15,0,266.31
BHARATFORG,Bharat Forge Limited,14.6,13.7,"68,560",50.4,0.59,6.48
BHARATGEAR,Bharat Gears Limited,1.88,-11.8,170,588,0,4.7
BHARATRAS,Bharat Rasayan Limited,14.3,11.1,"3,072",22.1,0.02,15.76
BHARATSE,Bharat Seats Limited,15.6,18,915,24,0.76,1.58
BHARATWIRE,Bharat Wire Ropes Limited,13.4,22.9,"1,176",16.1,0,3.23
BHARTIARTL,Bharti Airtel Limited,8.18,11.4,"11,81,414",48.8,0.82,7.97
BHARTIHEXA,Bharti Hexacom Limited,17.4,25.2,"79,350",49.4,0.64,8.42
BHEL,Bharat Heavy Electricals Limited,4.75,2,"90,690",113,0.19,1.1
BIGBLOC,Bigbloc Construction Limited,-1.34,-12.2,812,,0,0
BIKAJI,Bikaji Foods International Limited,20.1,16,"16,627",63.7,0.15,2.58
BIL,Bhartiya International Limited,10,5.8,"1,030",35.1,0,11.45
BIOCON,Biocon Limited,2.09,0.4,"59,625",743,0.14,0.53
BIOFILCHEM,Biofil Chemicals & Pharmaceuticals Limited,4.12,3.03,46.9,16.4,0,0.05
BIRLACABLE,Birla Cable Limited,5.14,1.98,402,53.6,0,1.34
BIRLACORPN,Birla Corporation Limited,4.09,2.32,"8,188",28.6,0.96,6.9
BIRLAMONEY,Aditya Birla Money Limited,13.1,37.2,695,13.5,0,2.52
BIRLANU,BirlaNu Limited,3.47,2.15,"1,207",93.6,1.88,-4.48
BLACKBUCK,BLACKBUCK LIMITED,10.5,47.3,"10,138",26.5,0,1.69
BLAL,BEML Land Assets Limited,-100,-126,801,,0,-0.11
BLBLIMITED,BLB Limited,6.58,3.99,72.2,2.78,0,1.62
BLISSGVS,Bliss GVS Pharma Limited,9.21,6.75,"1,876",24,0.27,2.35
BLKASHYAP,B. L. Kashyap and Sons Limited,6.63,1.98,"1,069",100,0,0.19
BLS,BLS International Services Limited,19,22,"10,650","1,420",0.39,0.12
BLSE,BLS E-Services Limited,9.18,6.74,"1,496",70.6,0.62,0.55
BLUECOAST,Blue Coast Hotels Limited,-34.4,,44.8,,0,-0.16
BLUEDART,Blue Dart Express Limited,18.6,15,"13,040",50.4,0.47,33.5
BLUEJET,Blue Jet Healthcare Limited,39.8,30.2,"7,251",20.6,0.29,3.01
BLUESTARCO,Blue Star Limited,22.8,18.2,"37,303",90.5,0.53,2.13
BLUESTONE,BlueStone Jewellery and Lifestyle Limited,-0.57,-35.8,"6,664",,0,4.72
BLUSPRING,Bluspring Enterprises Limited,,2.83,898,91,0,0.41
BMWVENTLTD,BMW Ventures Limited,13.6,16.5,460,13.7,0,0.82
BODALCHEM,Bodal Chemicals Limited,5.26,1.78,604,18.1,0,0.33
BOHRAIND,Bohra Industries Limited,-7.01,-6.69,38.4,,0,-0.3
BOMDYEING,Bombay Dyeing & Mfg Company Limited,2.6,1.37,"2,380",40,1.06,0.09
BOROLTD,Borosil Limited,12.5,9.32,"2,936",33.8,0,1.91
BORORENEW,BOROSIL RENEWABLES LIMITED,5.69,3.43,"6,994",33,0,5.58
BOROSCI,Borosil Scientific Limited,12,8.75,983,27.9,0,0.85
BOSCH-HCIL,BOSCH HOME COMFORT INDIA LIMITED,13.8,9.96,"3,708",115,2.63,-7
BOSCHLTD,Bosch Limited,21.1,15.6,"1,06,963",47.1,1.42,187.91
BPCL,Bharat Petroleum Corporation Limited,19.6,18.7,"1,57,379",6.41,4.8,17.39
BPL,BPL Limited,7.85,-8.15,286,5.67,0,-0.04
BRIGADE,Brigade Enterprises Limited,9.09,8.8,"18,429",45.6,0.34,2.05
BRIGHOTEL,Brigade Hotel Ventures Limited,14.8,14,"2,303",56,0,0.49
BRITANNIA,Britannia Industries Limited,56.8,58,"1,40,571",61.1,1.29,28.64
BRNL,Bharat Road Network Limited,-36.2,-54.4,180,,0,0.15
BROOKS,Brooks Laboratories Limited,4.29,3.28,183,25.4,0,0.76
BSE,BSE Limited,47.5,35.8,"1,16,272",69.7,0.21,12.65
